Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25023039_1	11.878792118392072					
SRR25023039_1_val_1		58.38057905052551	31.0	130.56461372515489	36.36363636363637	152042.0
SRR25023039_2	28.261669071673023					
SRR25023039_2_val_2		50.1525894160824	31.0	114.35958485155417	45.45454545454545	152042.0
SRR25023040_1	11.725617489318491					
SRR25023040_1_val_1		58.745551897302875	31.0	131.06344075293492	36.36363636363637	150345.0
SRR25023040_2	26.31452760450845					
SRR25023040_2_val_2		50.89161594998171	31.0	115.32225215338056	45.45454545454545	150345.0
SRR25023041_1	11.933804608775326					
SRR25023041_1_val_1		57.3747325707158	30.0	132.94975882023226	36.36363636363637	126669.0
SRR25023041_2	29.25503617942785					
SRR25023041_2_val_2		48.879362748580945	31.0	115.84812385035012	36.36363636363637	126669.0
SRR25023042_1	11.640290507987304					
SRR25023042_1_val_1		57.94305101943748	31.0	130.7791562291911	36.36363636363637	126148.0
SRR25023042_2	27.934393775474685					
SRR25023042_2_val_2		49.71065732314425	31.0	114.94289247550496	36.36363636363637	126148.0
SRR25023043_1	12.040147306887679					
SRR25023043_1_val_1		61.27167630057804	31.0	133.5209528176372	36.36363636363637	133037.0
SRR25023043_2	27.896074398445375					
SRR25023043_2_val_2		52.71691333989793	31.0	117.03344934116073	45.45454545454545	133037.0
