ID,Type,Chr,Start,End,Met_perc,Cyt_Met,Cyt_NoMet,Depth
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,32889392,32889392,14.010067114094,501,3075,3576
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,32889434,32889434,2.21040850587577,79,3495,3574
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,32889461,32889461,1.25979843225084,45,3527,3572
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,32889470,32889470,0.587412587412587,21,3554,3575
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,32889484,32889484,0.392047045645477,14,3557,3571
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,108867034,108867034,47.1933471933472,454,508,962
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,108867044,108867044,60.3909465020576,587,385,972
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,108867051,108867051,49.4877049180328,483,493,976
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,108867109,108867109,88.0368098159509,861,117,978
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,108867112,108867112,87.1297242083759,853,126,979
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,108867124,108867124,76.0491299897646,743,234,977
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,108867135,108867135,62.2564102564103,607,368,975
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13,108867155,108867155,61.1909650924025,596,378,974
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034307,37034307,99.9285714285714,2798,2,2800
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034316,37034316,0.286020736503396,8,2789,2797
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034324,37034324,0.322118826055834,9,2785,2794
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034330,37034330,0.178890876565295,5,2790,2795
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034344,37034344,0.966356478167502,27,2767,2794
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034346,37034346,0.393841747225206,11,2782,2793
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034348,37034348,0.502152080344333,14,2774,2788
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034352,37034352,0.286327845382963,8,2786,2794
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034355,37034355,0.393841747225206,11,2782,2793
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034359,37034359,0.465616045845272,13,2779,2792
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034369,37034369,1.39245144741664,38,2691,2729
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034373,37034373,0.572450805008945,16,2779,2795
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034382,37034382,0.286225402504472,8,2787,2795
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3,37034394,37034394,0.107334525939177,3,2792,2795
