ID,Type,Chr,Start,End,Met_perc,Cyt_Met,Cyt_NoMet,Depth
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034307,37034307,99.95085995086,2034,1,2035
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034316,37034316,0.591133004926108,12,2018,2030
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034324,37034324,0.542941757156959,11,2015,2026
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034330,37034330,0.246791707798618,5,2021,2026
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034344,37034344,0.939663699307616,19,2003,2022
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034346,37034346,0.246913580246914,5,2020,2025
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034348,37034348,0.939663699307616,19,2003,2022
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034352,37034352,1.08641975308642,22,2003,2025
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034355,37034355,1.13692535837865,23,2000,2023
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034359,37034359,1.0853478046374,22,2005,2027
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034369,37034369,1.08588351431392,22,2004,2026
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034373,37034373,0.641658440276407,13,2013,2026
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034382,37034382,0.641341884558461,13,2014,2027
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034394,37034394,0.839091806515301,17,2009,2026
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034402,37034402,1.0365251727542,21,2005,2026
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034409,37034409,1.28205128205128,26,2002,2028
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034412,37034412,0.59142434696895,12,2017,2029
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034414,37034414,0.740009866798224,15,2012,2027
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034418,37034418,0.889328063241107,18,2006,2024
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034420,37034420,0.29585798816568,6,2022,2028
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034430,37034430,0.59142434696895,12,2017,2029
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034438,37034438,0.443349753694581,9,2021,2030
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034441,37034441,0.641341884558461,13,2014,2027
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034466,37034466,99.9506416584403,2025,1,2026
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034997,37034997,0.261894369271061,6,2285,2291
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37035012,37035012,0.4359197907585,10,2284,2294
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37035032,37035032,0.34980323567993,8,2279,2287
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37035043,37035043,0.392670157068063,9,2283,2292
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37035047,37035047,0.786026200873363,18,2272,2290
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37035063,37035063,0.611620795107034,14,2275,2289
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37035066,37035066,0.393184796854522,9,2280,2289
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37035074,37035074,0.393356643356643,9,2279,2288
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37035090,37035090,0.613228208497591,14,2269,2283
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37035095,37035095,0.525164113785558,12,2273,2285
