ID,Type,Chr,Start,End,Met_perc,Cyt_Met,Cyt_NoMet,Depth,Gene
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034316,37034316,0.591133004926108,12,2018,2030,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034324,37034324,0.542941757156959,11,2015,2026,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034330,37034330,0.246791707798618,5,2021,2026,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034344,37034344,0.939663699307616,19,2003,2022,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034346,37034346,0.246913580246914,5,2020,2025,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034348,37034348,0.939663699307616,19,2003,2022,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034352,37034352,1.08641975308642,22,2003,2025,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034355,37034355,1.13692535837865,23,2000,2023,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034359,37034359,1.0853478046374,22,2005,2027,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034369,37034369,1.08588351431392,22,2004,2026,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034373,37034373,0.641658440276407,13,2013,2026,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034382,37034382,0.641341884558461,13,2014,2027,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034394,37034394,0.839091806515301,17,2009,2026,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034402,37034402,1.0365251727542,21,2005,2026,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034409,37034409,1.28205128205128,26,2002,2028,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034412,37034412,0.59142434696895,12,2017,2029,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034414,37034414,0.740009866798224,15,2012,2027,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034418,37034418,0.889328063241107,18,2006,2024,MLH1_Cont
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3,37034420,37034420,0.29585798816568,6,2022,2028,MLH1_Cont
